city,date,aqi,quality_level,pm2_5,pm10,so2,co,no2,o3
beijing,2022-04-27,28,优,44,8,28,10,2,0.26
beijing,2022-04-28,25,优,21,14,22,10,2,0.3
beijing,2022-04-29,59,良,255,42,59,18,2,0.39
beijing,2022-04-30,26,优,52,4,11,8,3,0.17
beijing,2022-05-01,33,优,117,10,30,18,2,0.21
beijing,2022-05-02,47,优,185,22,49,24,3,0.42
beijing,2022-05-03,61,良,258,28,68,23,2,0.44
beijing,2022-05-04,75,良,303,31,85,22,3,0.45
beijing,2022-05-05,77,良,296,34,92,16,3,0.44
beijing,2022-05-06,52,良,153,18,58,11,2,0.3
beijing,2022-05-07,36,优,92,15,33,15,2,0.3
beijing,2022-05-08,26,优,12,14,24,11,2,0.31
beijing,2022-05-09,32,优,75,16,30,16,2,0.34
beijing,2022-05-10,70,良,301,51,78,19,3,0.47
beijing,2022-05-11,43,优,198,24,41,16,3,0.39
beijing,2022-05-12,30,优,135,13,24,10,2,0.26
beijing,2022-05-13,26,优,89,6,20,10,2,0.17
beijing,2022-05-14,27,优,104,5,21,12,2,0.19
beijing,2022-05-15,28,优,101,8,23,15,2,0.2
beijing,2022-05-16,32,优,103,11,28,14,2,0.21
beijing,2022-05-17,58,良,254,29,65,24,4,0.43
beijing,2022-05-18,44,优,123,20,40,14,2,0.3
beijing,2022-05-19,73,良,305,35,74,21,3,0.55
beijing,2022-05-20,85,良,330,39,81,19,3,0.56
beijing,2022-05-21,81,良,322,32,72,18,2,0.49
beijing,2022-05-22,83,良,320,30,78,18,3,0.49
beijing,2022-05-23,71,良,292,30,69,16,2,0.46
beijing,2022-05-24,66,良,273,27,62,16,2,0.5
beijing,2022-05-25,29,优,97,4,19,6,2,0.18
beijing,2022-05-26,31,优,137,7,25,13,2,0.2
beijing,2022-05-27,43,优,179,11,37,18,2,0.33
beijing,2022-05-28,84,良,316,25,77,16,4,0.45
beijing,2022-05-29,45,优,207,16,47,9,3,0.33
beijing,2022-05-30,31,优,110,9,27,14,2,0.22
beijing,2022-05-31,51,良,229,17,49,21,3,0.36
beijing,2022-06-01,44,优,199,14,36,19,2,0.33
beijing,2022-06-02,78,良,279,20,53,21,3,0.37
beijing,2022-06-03,89,良,313,34,80,22,5,0.68
beijing,2022-06-04,49,优,289,23,46,9,2,0.45
beijing,2022-06-05,37,优,204,11,30,10,2,0.28
beijing,2022-06-06,25,优,77,2,8,6,2,0.22
beijing,2022-06-07,31,优,103,9,27,12,2,0.4
beijing,2022-06-08,48,优,210,22,49,14,3,0.68
beijing,2022-06-09,47,优,210,24,48,16,2,0.8
beijing,2022-06-10,60,良,302,29,64,14,2,0.73
beijing,2022-06-11,51,良,252,23,55,14,2,0.6
beijing,2022-06-12,38,优,210,17,33,10,2,0.53
beijing,2022-06-13,30,优,121,15,28,12,2,0.44
beijing,2022-06-14,36,优,157,14,28,12,2,0.48
beijing,2022-06-15,43,优,179,21,40,13,2,0.63
beijing,2022-06-16,66,良,278,25,54,16,2,0.6
beijing,2022-06-17,78,良,307,35,73,18,2,0.85
beijing,2022-06-18,84,良,316,34,71,12,2,0.88
beijing,2022-06-19,75,良,305,30,62,10,2,0.8
beijing,2022-06-20,85,良,315,35,75,14,2,0.85
beijing,2022-06-21,100,良,336,59,110,19,3,1.08
beijing,2022-06-22,74,良,332,52,77,16,2,0.92
beijing,2022-06-23,41,优,264,14,19,13,2,0.44
beijing,2022-06-24,27,优,120,4,14,17,2,0.25
beijing,2022-06-25,89,良,332,18,54,23,2,0.4
beijing,2022-06-26,58,良,313,24,56,13,3,0.61
beijing,2022-06-27,43,优,290,25,40,10,2,0.63
beijing,2022-06-28,27,优,123,12,19,9,3,0.44
beijing,2022-06-29,22,优,44,8,14,8,3,0.37
beijing,2022-06-30,30,优,128,13,24,12,2,0.44
beijing,2022-07-01,35,优,193,18,27,9,2,0.58
beijing,2022-07-02,57,良,307,35,51,13,2,0.73
beijing,2022-07-03,41,优,276,23,33,10,3,0.63
beijing,2022-07-04,32,优,184,18,24,11,3,0.58
beijing,2022-07-05,56,良,319,36,49,11,2,0.59
beijing,2022-07-06,24,优,115,8,14,9,2,0.4
beijing,2022-07-07,36,优,200,10,24,17,2,0.38
beijing,2022-07-08,45,优,222,16,40,18,2,0.44
beijing,2022-07-09,32,优,139,10,27,19,2,0.33
beijing,2022-07-10,27,优,84,9,18,11,2,0.36
beijing,2022-07-11,37,优,198,21,37,17,2,0.5
beijing,2022-07-12,34,优,173,14,22,10,3,0.48
beijing,2022-07-13,32,优,157,10,21,15,2,0.52
beijing,2022-07-14,35,优,158,8,22,16,3,0.3
beijing,2022-07-15,37,优,171,9,28,20,2,0.32
beijing,2022-07-16,65,良,329,24,55,19,3,0.61
beijing,2022-07-17,45,优,292,21,41,15,2,0.44
beijing,2022-07-18,34,优,197,7,25,16,2,0.36
beijing,2022-07-19,50,优,288,13,41,20,2,0.4
beijing,2022-07-20,59,良,330,25,55,17,2,0.5
beijing,2022-07-21,61,良,314,19,42,15,2,0.43
beijing,2022-07-22,56,良,306,28,57,20,2,0.51
beijing,2022-07-23,31,优,139,10,20,10,2,0.35
beijing,2022-07-24,61,良,314,23,46,16,2,0.48
beijing,2022-07-25,46,优,227,21,43,14,2,0.45
beijing,2022-07-26,52,良,288,30,49,13,2,0.5
beijing,2022-07-27,35,优,129,18,27,10,2,0.57
beijing,2022-07-28,24,优,34,5,9,9,2,0.35
beijing,2022-07-29,34,优,155,14,26,15,2,0.43
beijing,2022-07-30,57,良,313,35,54,12,3,0.66
beijing,2022-07-31,46,优,236,27,43,13,3,0.5
beijing,2022-08-01,63,良,324,38,58,14,3,0.56
beijing,2022-08-02,61,良,323,41,63,15,2,0.58
beijing,2022-08-03,63,良,322,40,59,12,2,0.51
beijing,2022-08-04,55,良,297,35,56,12,2,0.57
beijing,2022-08-05,42,优,243,16,27,11,2,0.48
beijing,2022-08-06,38,优,232,20,36,17,3,0.55
beijing,2022-08-07,43,优,281,27,38,12,3,0.6
beijing,2022-08-08,20,优,54,8,16,13,2,0.37
beijing,2022-08-09,21,优,62,7,16,13,2,0.37
beijing,2022-08-10,33,优,199,11,24,14,2,0.38
beijing,2022-08-11,45,优,255,18,37,13,3,0.46
beijing,2022-08-12,58,良,295,35,59,13,3,0.62
beijing,2022-08-13,66,良,323,46,65,15,2,0.82
beijing,2022-08-14,41,优,251,28,40,13,2,0.98
beijing,2022-08-15,24,优,69,8,14,12,3,0.55
beijing,2022-08-16,26,优,85,5,13,13,2,0.35
beijing,2022-08-17,49,优,284,26,49,14,2,0.55
beijing,2022-08-18,44,优,243,30,42,14,2,0.65
beijing,2022-08-19,26,优,98,10,14,12,3,0.44
beijing,2022-08-20,29,优,135,10,25,17,2,0.37
beijing,2022-08-21,51,良,282,27,52,15,2,0.49
beijing,2022-08-22,29,优,141,12,16,9,3,0.33
beijing,2022-08-23,14,优,5,3,11,15,2,0.22
beijing,2022-08-24,26,优,83,7,22,15,2,0.28
beijing,2022-08-25,29,优,118,9,24,16,3,0.28
beijing,2022-08-26,22,优,71,6,21,17,3,0.2
beijing,2022-08-27,21,优,59,4,18,16,2,0.16
beijing,2022-08-28,38,优,277,14,38,25,2,0.33
beijing,2022-08-29,31,优,192,18,30,13,3,0.37
beijing,2022-08-30,43,优,272,23,39,19,2,0.44
beijing,2022-08-31,20,优,32,4,12,18,2,0.27
beijing,2022-09-01,30,优,122,8,28,17,2,0.28
beijing,2022-09-02,47,优,262,18,46,20,2,0.44
beijing,2022-09-03,54,良,298,30,59,23,2,0.51
beijing,2022-09-04,53,良,283,34,52,16,2,0.54
beijing,2022-09-05,21,优,24,4,13,13,2,0.2
beijing,2022-09-06,26,优,36,6,23,20,2,0.24
beijing,2022-09-07,31,优,54,8,28,23,2,0.28
beijing,2022-09-08,54,良,206,18,49,29,2,0.39
beijing,2022-09-09,76,良,315,33,72,28,2,0.63
beijing,2022-09-10,84,良,327,45,78,20,2,0.77
beijing,2022-09-11,49,优,175,28,49,14,2,0.58
beijing,2022-09-12,74,良,288,48,78,20,2,0.7
beijing,2022-09-13,79,良,305,56,86,22,2,0.8
beijing,2022-09-14,58,良,256,34,55,17,2,0.64
beijing,2022-09-15,49,优,223,21,46,17,2,0.55
beijing,2022-09-16,54,良,235,25,51,20,2,0.52
beijing,2022-09-17,72,良,288,38,78,26,2,0.64
beijing,2022-09-18,32,优,83,10,29,18,3,0.3
beijing,2022-09-19,26,优,51,5,24,18,3,0.21
beijing,2022-09-20,26,优,62,5,23,15,2,0.15
beijing,2022-09-21,49,优,223,17,52,27,2,0.34
beijing,2022-09-22,46,优,176,17,49,15,2,0.29
beijing,2022-09-23,23,优,61,3,21,11,2,0.17
beijing,2022-09-24,41,优,137,14,44,28,2,0.31
beijing,2022-09-25,76,良,315,43,102,38,3,0.55
beijing,2022-09-26,91,良,331,57,113,40,3,0.77
beijing,2022-09-27,97,良,327,59,112,39,3,0.77
beijing,2022-09-28,92,良,321,58,112,38,3,0.78
beijing,2022-09-29,98,良,329,64,122,37,3,0.83
beijing,2022-09-30,116,轻度污染,335,82,143,42,2,0.9
beijing,2022-10-01,93,良,334,69,119,35,2,0.76
beijing,2022-10-02,27,优,104,16,23,12,2,0.44
beijing,2022-10-03,16,优,24,6,10,10,3,0.27
beijing,2022-10-04,18,优,75,2,9,10,3,0.12
beijing,2022-10-05,24,优,143,8,22,18,2,0.18
beijing,2022-10-06,43,优,260,20,44,25,2,0.28
beijing,2022-10-07,72,良,323,49,85,30,2,0.57
beijing,2022-10-08,88,良,330,65,96,29,2,0.57
beijing,2022-10-09,19,优,35,2,8,6,3,0.1
beijing,2022-10-10,21,优,45,3,12,12,2,0.16
beijing,2022-10-11,32,优,81,13,34,27,2,0.32
beijing,2022-10-12,72,良,315,48,89,46,2,0.59
beijing,2022-10-13,114,轻度污染,330,86,134,51,2,0.72
beijing,2022-10-14,140,轻度污染,330,106,159,50,2,0.74
beijing,2022-10-15,142,轻度污染,322,108,157,39,2,0.77
beijing,2022-10-16,24,优,24,8,17,9,2,0.15
beijing,2022-10-17,16,优,3,2,12,11,2,0.16
beijing,2022-10-18,29,优,38,9,29,24,2,0.28
beijing,2022-10-19,61,良,232,36,73,39,3,0.52
beijing,2022-10-20,104,轻度污染,334,78,126,51,2,0.66
beijing,2022-10-21,127,轻度污染,334,96,144,43,2,0.74
beijing,2022-10-22,42,优,87,22,43,18,2,0.28
beijing,2022-10-23,25,优,24,7,23,23,2,0.26
beijing,2022-10-24,55,良,148,27,63,34,2,0.55
beijing,2022-10-25,116,轻度污染,324,86,138,46,4,0.86
beijing,2022-10-26,139,轻度污染,333,103,148,40,2,0.72
beijing,2022-10-27,22,优,29,7,20,19,2,0.24
beijing,2022-10-28,55,良,249,20,61,37,2,0.48
beijing,2022-10-29,65,良,278,37,81,39,2,0.64
beijing,2022-10-30,94,良,304,70,108,41,2,0.61
beijing,2022-10-31,42,优,130,24,41,19,2,0.28
beijing,2022-11-01,26,优,32,9,25,26,2,0.25
beijing,2022-11-02,58,良,232,32,67,35,2,0.45
beijing,2022-11-03,45,优,160,24,47,21,2,0.47
beijing,2022-11-04,28,优,54,12,27,19,2,0.23
beijing,2022-11-05,50,优,162,28,56,35,2,0.37
beijing,2022-11-06,106,轻度污染,321,79,124,52,2,0.7
beijing,2022-11-07,52,良,133,32,52,30,2,0.42
beijing,2022-11-08,58,良,163,35,68,43,2,0.5
beijing,2022-11-09,101,轻度污染,269,75,115,52,2,0.69
beijing,2022-11-10,115,轻度污染,283,87,110,32,2,0.79
beijing,2022-11-11,135,轻度污染,308,101,127,38,2,1.51
beijing,2022-11-12,16,优,5,3,5,11,2,0.37
beijing,2022-11-13,18,优,9,7,13,17,2,0.2
beijing,2022-11-14,50,优,184,27,54,40,2,0.45
beijing,2022-11-15,38,优,85,19,39,32,2,0.43
beijing,2022-11-16,39,优,90,19,44,38,2,0.44
beijing,2022-11-17,83,良,255,58,97,48,2,0.66
beijing,2022-11-18,111,轻度污染,304,83,123,49,3,0.99
beijing,2022-11-19,128,轻度污染,319,97,141,44,2,0.97
beijing,2022-11-20,151,中度污染,330,114,169,43,2,1.03
beijing,2022-11-21,58,良,218,39,68,27,2,0.52
beijing,2022-11-22,61,良,275,40,72,38,2,0.61
beijing,2022-11-23,95,良,319,71,106,40,2,0.73
beijing,2022-11-24,155,中度污染,334,116,162,49,2,0.97
beijing,2022-11-25,89,良,301,57,94,24,2,0.55
beijing,2022-11-26,23,优,35,5,22,12,2,0.19
beijing,2022-11-27,39,优,115,18,40,27,2,0.41
beijing,2022-11-28,75,良,265,31,99,20,2,0.34
beijing,2022-11-29,42,优,161,8,43,2,2,0.19
beijing,2022-11-30,31,优,152,8,31,7,2,0.26
beijing,2022-12-01,32,优,140,11,32,12,2,0.22
beijing,2022-12-02,59,良,230,35,69,40,3,0.54
beijing,2022-12-03,29,优,71,12,30,15,2,0.24
beijing,2022-12-04,30,优,104,14,31,24,2,0.28
beijing,2022-12-05,44,优,160,22,46,31,2,0.38
beijing,2022-12-06,51,良,151,25,53,37,2,0.45
beijing,2022-12-07,42,优,98,21,44,38,2,0.43
beijing,2022-12-08,44,优,87,22,46,35,2,0.45
beijing,2022-12-09,65,良,147,42,73,43,3,0.53
beijing,2022-12-10,25,优,16,8,20,9,2,0.18
beijing,2022-12-11,25,优,10,10,23,21,2,0.24
beijing,2022-12-12,363,严重污染,337,140,642,18,2,0.28
beijing,2022-12-13,92,良,209,21,123,3,2,0.18
beijing,2022-12-14,55,良,103,17,61,25,2,0.33
beijing,2022-12-15,37,优,62,11,39,15,2,0.21
beijing,2022-12-16,24,优,32,7,23,9,2,0.19
beijing,2022-12-17,30,优,51,5,30,3,2,0.11
beijing,2022-12-18,38,优,95,12,39,24,2,0.24
beijing,2022-12-19,48,优,93,20,49,38,2,0.37
beijing,2022-12-20,58,良,102,30,67,43,3,0.5
beijing,2022-12-21,29,优,18,7,29,8,2,0.17
beijing,2022-12-22,18,优,2,5,15,4,2,0.15
beijing,2022-12-23,18,优,2,8,18,13,2,0.22
beijing,2022-12-24,27,优,21,14,27,20,2,0.28
beijing,2022-12-25,40,优,49,23,40,34,2,0.46
beijing,2022-12-26,47,优,72,23,50,31,2,0.43
beijing,2022-12-27,27,优,20,11,27,14,2,0.24
beijing,2022-12-28,35,优,53,15,36,26,2,0.34
beijing,2022-12-29,22,优,7,9,21,16,2,0.26
beijing,2022-12-30,38,优,44,19,39,38,2,0.46
beijing,2022-12-31,46,优,79,24,47,37,3,0.49
beijing,2023-01-01,38,优,60,19,38,28,2,0.4
beijing,2023-01-02,22,优,9,10,21,18,2,0.25
beijing,2023-01-03,36,优,59,20,38,32,2,0.43
beijing,2023-01-04,63,良,128,41,70,45,3,0.63
beijing,2023-01-05,106,轻度污染,196,79,118,61,4,0.91
beijing,2023-01-06,103,轻度污染,163,62,115,45,3,0.69
beijing,2023-01-07,66,良,96,19,81,40,2,0.5
beijing,2023-01-08,59,良,75,25,70,32,2,0.47
beijing,2023-01-09,34,优,47,13,35,24,2,0.35
beijing,2023-01-10,60,良,143,37,69,47,3,0.6
beijing,2023-01-11,82,良,172,60,97,57,4,0.79
beijing,2023-01-12,115,轻度污染,214,87,127,58,4,0.88
beijing,2023-01-13,100,良,214,74,91,27,2,0.69
beijing,2023-01-14,21,优,34,2,9,5,2,0.11
beijing,2023-01-15,23,优,59,6,21,9,2,0.2
beijing,2023-01-16,43,优,96,18,43,22,2,0.33
beijing,2023-01-17,80,良,241,26,110,13,2,0.28
beijing,2023-01-18,70,良,163,28,89,24,2,0.37
beijing,2023-01-19,71,良,139,29,100,19,2,0.33
beijing,2023-01-20,40,优,55,9,40,6,2,0.25
beijing,2023-01-21,58,良,77,35,63,23,3,0.48
beijing,2023-01-22,93,良,123,66,114,23,3,0.54
beijing,2023-01-23,59,良,137,37,65,6,2,0.42
beijing,2023-01-24,36,优,73,7,36,5,2,0.2
beijing,2023-01-25,44,优,82,25,46,21,3,0.43
beijing,2023-01-26,46,优,43,21,49,15,2,0.35
beijing,2023-01-27,24,优,5,7,22,7,2,0.22
beijing,2023-01-28,62,良,195,15,74,11,2,0.24
beijing,2023-01-29,64,良,166,21,79,16,2,0.26
beijing,2023-01-30,63,良,124,34,76,37,4,0.52
beijing,2023-01-31,70,良,149,35,92,30,2,0.53
beijing,2023-02-01,30,优,18,8,32,6,2,0.16
beijing,2023-02-02,22,优,3,10,22,19,2,0.26
beijing,2023-02-03,42,优,58,23,44,37,2,0.43
beijing,2023-02-04,48,优,101,28,51,35,3,0.5
beijing,2023-02-05,100,良,211,74,114,54,5,0.82
beijing,2023-02-06,129,轻度污染,251,98,140,46,7,1.07
beijing,2023-02-07,67,良,165,47,76,39,4,0.84
beijing,2023-02-08,34,优,76,20,33,26,2,0.38
beijing,2023-02-09,68,良,228,49,70,43,4,0.65
beijing,2023-02-10,113,轻度污染,296,85,99,37,2,0.75
beijing,2023-02-11,185,中度污染,330,139,181,38,2,1.01
beijing,2023-02-12,108,轻度污染,312,81,100,26,2,0.81
beijing,2023-02-13,23,优,54,6,9,12,2,0.22
beijing,2023-02-14,20,优,25,8,16,21,2,0.26
beijing,2023-02-15,52,良,183,31,55,34,2,0.48
beijing,2023-02-16,92,良,274,68,101,48,3,0.65
beijing,2023-02-17,174,中度污染,321,132,177,62,3,1.04
beijing,2023-02-18,164,中度污染,321,124,159,43,2,0.9
beijing,2023-02-19,29,优,9,5,29,13,2,0.21
beijing,2023-02-20,23,优,4,4,23,15,2,0.19
beijing,2023-02-21,36,优,39,18,40,31,2,0.35
beijing,2023-02-22,78,良,278,56,97,55,3,0.67
beijing,2023-02-23,121,轻度污染,319,91,140,66,3,0.8
beijing,2023-02-24,43,优,92,25,40,25,2,0.29
beijing,2023-02-25,24,优,10,9,21,22,2,0.23
beijing,2023-02-26,88,良,258,60,98,39,3,0.55
beijing,2023-02-27,173,中度污染,326,131,185,53,4,0.9
beijing,2023-02-28,88,良,233,59,86,30,2,0.47
beijing,2023-03-01,21,优,1,4,16,18,2,0.19
beijing,2023-03-01,21,优,2,4,16,18,2,0.19
beijing,2023-03-02,51,良,64,19,60,36,2,0.35
beijing,2023-03-03,65,良,139,33,79,40,2,0.45
beijing,2023-03-04,139,轻度污染,323,103,168,54,8,1.2
beijing,2023-03-05,212,重度污染,334,162,224,46,3,1.42
beijing,2023-03-06,170,中度污染,329,132,181,43,2,1.1
beijing,2023-03-07,190,中度污染,334,146,216,56,6,1.26
beijing,2023-03-08,109,轻度污染,306,73,131,32,3,0.66
beijing,2023-03-09,77,良,199,42,104,46,3,0.53
beijing,2023-03-10,243,重度污染,331,82,397,37,3,0.52
beijing,2023-03-11,124,轻度污染,267,19,176,10,2,0.2
beijing,2023-03-12,53,良,114,8,59,8,2,0.18
beijing,2023-03-13,73,良,198,30,96,46,2,0.46
beijing,2023-03-14,126,轻度污染,318,42,195,33,3,0.44
beijing,2023-03-15,96,良,247,17,132,5,2,0.17
beijing,2023-03-16,49,优,97,13,54,21,2,0.28
beijing,2023-03-17,78,良,308,43,106,41,3,0.5
beijing,2023-03-18,44,优,133,21,45,28,2,0.3
beijing,2023-03-19,80,良,271,51,97,36,2,0.44
beijing,2023-03-20,148,轻度污染,325,113,158,42,3,0.67
beijing,2023-03-21,161,中度污染,305,122,165,41,2,0.77
beijing,2023-03-22,336,严重污染,304,171,679,16,2,0.3
beijing,2023-03-23,102,轻度污染,198,35,155,10,3,0.14
beijing,2023-03-24,60,良,177,19,74,18,2,0.23
beijing,2023-03-25,58,良,200,24,71,24,2,0.3
beijing,2023-03-26,51,良,141,22,61,23,2,0.25
beijing,2023-03-27,52,良,129,21,62,25,2,0.24
beijing,2023-03-28,92,良,290,62,132,43,5,0.65
beijing,2023-03-29,119,轻度污染,328,88,172,46,4,0.68
beijing,2023-03-30,108,轻度污染,322,78,162,38,3,0.58
beijing,2023-03-31,84,良,297,55,117,28,2,0.42
beijing,2023-04-01,78,良,268,53,103,26,2,0.43
beijing,2023-04-02,100,良,302,75,128,41,5,0.64
beijing,2023-04-03,70,良,288,44,90,29,4,0.62
beijing,2023-04-04,40,优,226,17,40,12,2,0.33
beijing,2023-04-05,35,优,153,19,34,15,2,0.28
beijing,2023-04-06,42,优,120,14,42,10,2,0.18
beijing,2023-04-07,32,优,54,5,34,7,2,0.11
beijing,2023-04-08,50,优,75,13,52,18,2,0.2
beijing,2023-04-09,86,良,271,58,118,35,3,0.45
beijing,2023-04-10,176,中度污染,300,108,333,40,2,0.54
beijing,2023-04-11,305,严重污染,262,107,548,5,2,0.15
beijing,2023-04-12,277,重度污染,263,105,388,27,2,0.32
beijing,2023-04-13,471,严重污染,337,161,582,45,2,0.58
beijing,2023-04-14,191,中度污染,304,79,272,23,2,0.35
beijing,2023-04-15,72,良,166,24,98,15,2,0.14
beijing,2023-04-16,49,优,46,15,54,19,2,0.17
